title,url,date,author,categories
European Federation of Journalist to Suspend Using Social Media X,https://www.waltainfo.com/european-federation-of-journalist-to-suspend-using-social-media-x/,"December 2, 2024",Tewodros Sahile,"Editor’s Pick,International,News,Social"
Ambassador Mesganu Arga Confers with Japan’s Special Envoy to HoA,https://www.waltainfo.com/𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫-𝐌𝐞𝐬𝐠𝐚𝐧/,"November 16, 2024",Tewodros Sahile,"National,News,Political"
Ethiopia Makes the Best out of Conference Diplomacy,https://www.waltainfo.com/ethiopia-makes-the-best-out-of-conference-diplomacy/,"November 14, 2024",Tewodros Sahile,"National,News,Political"
US ambassador to Kenya Resigns Following Trump’s Presidential Victory,https://www.waltainfo.com/us-ambassador-to-kenya-resigns-following-trumps-presidential-victory/,"November 14, 2024",Tewodros Sahile,"International,News,Political"
Trump Appoints Elon Musk to Lead New Agency - GOGE,https://www.waltainfo.com/trump-appoints-elon-musk-to-lead-new-agency-goge/,"November 13, 2024",Tewodros Sahile,"International,News,Political"
We Plan to Cultivate over 24 Million Hectares This Year-PM Abiy Ahmed,https://www.waltainfo.com/we-plan-to-cultivate-over-24-million-hectares-this-year-pm-abiy-ahmed/,"July 8, 2024",Tewodros Sahile,"Economic,Editor’s Pick,National,News"
